"Source:","/opt/work-iot/supply/schematics/supply-uv/supply-uv.kicad_sch"
"Date:","2024-08-24T22:05:37+0300"
"Tool:","Eeschema 8.0.4-8.0.4-0~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","282"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"J5","1","CW2B-10A-T","Conn_01x03_Pin","Connector_Wire:SolderWire-1.5sqmm_1x03_P7.8mm_D1.7mm_OD3.9mm","Generic connector, single row, 01x03, script generated","",""
"J6","1","USBASP","Conn_02x05_Odd_Even","Library:DC3-2x05_p2.54","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J7","1","JST XH B3B","Conn_01x03_Socket","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","Generic connector, single row, 01x03, script generated","",""
"J8","1","Conn_01x03_Pin","Conn_01x03_Pin","","Generic connector, single row, 01x03, script generated","",""
"JP5","1","STB_EN","Jumper_2_Open","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","Jumper, 2-pole, open","",""
"K1","1","SRD-12VDC-SL-C","SANYOU_SRD_Form_C","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","Sanyo SRD relay, Single Pole Miniature Power Relay,","",""
"L1, L2","2","22 uH@0650","L","Inductor_SMD:L_Chilisin_BMRB00060650","Inductor","",""
"L3","1","BLM18EG221SN1D","L","Inductor_SMD:L_0603_1608Metric","Inductor","",""
"L4","1","HPI1040-1R0","L","Library:Ferrocore-HPI1040","Inductor","",""
"L5","1","SPM6550T-R68M","L","Inductor_SMD:L_Sumida_CDMC6D28_7.25x6.5mm","Inductor","",""
"Q1","1","5N65F","Q_NMOS_GDS","Package_TO_SOT_THT:TO-220-3_Vertical","N-MOSFET transistor, gate/drain/source","",""
"Q2, Q3, Q4, Q8","4","IRLML5203","IRLML5203","Package_TO_SOT_SMD:SOT-23","-3.0A Id, -30V Vds, 98mOhm Rds, P-Channel HEXFET Power MOSFET, SOT-23","",""
"Q5, Q6, Q10, Q11","4","STP13NK60Z","Q_NMOS_GDS","Package_TO_SOT_THT:TO-220-3_Vertical","N-MOSFET transistor, gate/drain/source","",""
"Q7, Q9, Q12, Q13, Q14","5","IRLML0030","IRLML0030","Package_TO_SOT_SMD:SOT-23","5.3A Id, 30V Vds, 27mOhm Rds, N-Channel HEXFET Power MOSFET, SOT-23","",""
"R1","1","62K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R2, R5","2","1M","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"R3, R4, R6, R7, R16, R17, R33, R47, R53, R61, R62","11","2K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R8, R10, R39, R40, R58, R59","6","10","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R9","1","220K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"R11, R12, R27, R29, R34, R35, R43, R49, R50, R51, R54, R56, R57, R63, R69, R70, R72, R74, R75, R76","20","10K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R13, R28, R42","3","150","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R14, R41","2","0.5R","R","Resistor_SMD:R_2512_6332Metric","Resistor","",""
"R15, R18, R19, R45, R68","5","510","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R20","1","39K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R21","1","3K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R22, R30, R65","3","1K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R23, R24, R25","3","JNR13S500L","R_Trim","Varistor:RV_Disc_D12mm_W5.8mm_P7.5mm","Trimmable resistor (preset resistor)","",""
"R26","1","50K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R31","1","680","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R32, R46, R71, R73","4","220","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R36","1","4K7","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R37, R48","2","2K2","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R38, R52","2","22","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R44","1","3K3","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R55","1","110K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R60","1","0.04R","R","Resistor_SMD:R_2512_6332Metric","Resistor","",""
"R64","1","9K1","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R66","1","0.01","R","Resistor_SMD:R_2512_6332Metric","Resistor","",""
"R67","1","47K","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"RV1","1","FNR-14K431","Varistor","Resistor_THT:R_Radial_Power_L16.1mm_W9.0mm_P7.37mm","Voltage dependent resistor","",""
"RV2","1","CT1206M6G","Varistor","Resistor_SMD:R_1206_3216Metric","Voltage dependent resistor","",""
"SW1","1","SW_Push","SW_Push","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","Push button switch, generic, two pins","",""
"TP1","1","HV GND","TestPoint","Library:TestPoint_Plated_Hole_D1.0mm","test point","",""
"TP2","1","Supply VCC","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP3","1","Supply GND","TestPoint","Library:TestPoint_Plated_Hole_D1.0mm","test point","",""
"TP4, TP15, TP23","3","STB_GND","TestPoint","Library:TestPoint_Plated_Hole_D1.0mm","test point","",""
"TP5","1","VSYS1","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP6","1","VSYS1_GND","TestPoint","Library:TestPoint_Plated_Hole_D1.0mm","test point","",""
"TP7","1","VSYS2","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP8","1","VSYS2_GND","TestPoint","Library:TestPoint_Plated_Hole_D1.0mm","test point","",""
"TP9","1","Supply G","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP10","1","+320V","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP11","1","STB VCC","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP12","1","+5V_FEEDBACK","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP13","1","5V_H","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP14","1","5V_L","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP16, TP24","2","HV_GND","TestPoint","Library:TestPoint_Plated_Hole_D1.0mm","test point","",""
"TP17","1","5V_GH","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP18","1","5V_GL","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP19","1","5V_MP","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP20","1","PV_H","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP21","1","PV_L","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP22","1","PWR_SHUTDOWN","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP25","1","PV_GH","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP26","1","PV_GL","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP27","1","PV_MP","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP28","1","PWR_FEEDBACK","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP29","1","VSYS_GND","TestPoint","Library:TestPoint_Plated_Hole_D1.0mm","test point","",""
"TP30","1","REF_2V5","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP31","1","PW_CS","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP32","1","PW_VS","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP33","1","PW_SHDN#","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP34","1","BTN_FB","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP35","1","IC_FB","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TP36","1","PW_FB","TestPoint","TestPoint:TestPoint_Pad_1.0x1.0mm","test point","",""
"TR1","1","ETD 29/16/10@N87@s=0.2mm N41/8/9@0.5mm","TR_5x1-7+7","Library:ETD29_7x7_vertical","","",""
"TR2","1","ETD 29/16/10@N87 N51@0.5mm / 3+3@1mm*4","TR_1_1.5x4-7+7","Library:ETD29_7x7_vertical","","",""
"TR3","1","ETD 49/25/16@N87 N18@1mm*2/7+7@1mm*4","TR_1x2_1.5x4_10+10","Library:ETD49_10x10_horizontal","","",""
"U1","1","ISO1540","ISO1540","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","I2C Isolator, 2.5 kVrms, Bidirectional clock and data, SOIC-8","",""
"U2","1","R7731","R7731","Package_TO_SOT_SMD:SOT-23-6","","",""
"U3, U4, U8, U11, U15, U19","6","EL817","EL817","Package_DIP:DIP-4_W7.62mm","DC Optocoupler, Vce 35V, DIP-4","",""
"U5, U6","2","L7805ABV","L7805","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252","",""
"U7, U21","2","TL431DBZ","TL431DBZ","Package_TO_SOT_SMD:SOT-23","Shunt Regulator, SOT-23","",""
"U9, U14","2","TL432DBZ","TL432DBZ","Package_TO_SOT_SMD:SOT-23-3","Shunt Regulator, SOT-23","",""
"U10","1","TL331","TL331","Package_TO_SOT_SMD:SOT-23-5","Single Differential Comparator with Open-Collector Output, SOT-23-5","",""
"U12, U16","2","UC3525","UC3525","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","Regulating Pulse Width Modulators, NOR Logic, PDIP-16/SOIC-16","",""
"U13, U18","2","IRS21867S","IRS21867S","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","High and Low Side Driver, 600V, 4.0/4.0A, SOIC-8","",""
"U17","1","OP213ESZ","AD822","Package_SO:SO-8_3.9x4.9mm_P1.27mm","","",""
"U20","1","INA169","INA169","Package_TO_SOT_SMD:SOT-23-5","High-Side Measurement Current Shunt Monitor, 60V, SOT-23-5","",""
"U22","1","ATtiny1616-M","ATtiny1616-M","Package_DFN_QFN:VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm","20MHz, 16kB Flash, 2kB SRAM, 256B EEPROM, VQFN-20","",""
"Y1","1","B32022A3223M000","C","Capacitor_THT:C_Rect_L18.0mm_W6.0mm_P15.00mm_FKS3_FKP3","Unpolarized capacitor","",""
